"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1873.33355417794/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xbb6501b07fa76a38149854d27922c41ddf973c66d4b41698385586f16ba542a3","16674427","1676952755","2023-02-21 04:12:35","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000052705951","0","0.0000000987358265131583","0.002248132669037262","4.21150236315111","1659.64","","","0x25194788"
"0x1686bce3701824943129bb1683fff95452c3f4e154d9a577c2581c6f6c05ea11","16674427","1676952755","2023-02-21 04:12:35","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000054162141","0","0.000000101463756101417","0.0040024133619288","7.49785524859136","1659.64","","","0x61394788"
"0x10268851099a2da4daebf79fbe5a5876f490808196eacc63db8f7bfd3be549ee","16674429","1676952779","2023-02-21 04:12:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000079748716","0","0.000000149395945585407","0.0023107521588825","4.3288095546237","1659.64","","","0x251aec7a"
"0xb3d29b2edb9cabfef145d6478101c79edb468c6c598e39a3fd9eccd9f81575f2","16674429","1676952779","2023-02-21 04:12:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000080805033","0","0.000000151374779665356","0.002223383341178202","4.16513861682938","1659.64","","","0x613aec7a"
"0x0d2e9842deb83d620aee6c663a17cd778d9220b3dae87e891bbcca40e597ba83","16674432","1676952827","2023-02-21 04:13:47","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000049545942","0","0.0000000928160756219541","0.002637767112835859","4.94141764058248","1659.64","","","0x2520291c"
"0xe9a11d1870ed4795f76560dc2218992e631795885bde93333707457ab6ba80a8","16674432","1676952827","2023-02-21 04:13:47","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000053465048","0","0.000000100157868394134","0.014762904643633884","27.6558446260487","1659.64","","","0x6140291c"
"0xbeec950fbcd90feaba73c7a5d6398e40ec38fd308472400cac6ab63e2dc47150","16674453","1676953079","2023-02-21 04:17:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000129994257","0","0.000000243522603488531","0.001959386588076138","3.67058464104926","1659.64","","","0x251a9572"
"0x6c075ac913c69cc127a883d13f781016532967c931605af8b8facb196b14a9dc","16674453","1676953079","2023-02-21 04:17:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000130784787","0","0.000000245003529863115","0.001864705958305394","3.49321624036903","1659.64","","","0x613a9572"
"0x912f27161fa8a80e14b846fbf2eae7f3af6812c02704a1f22459715b9821e251","16674477","1676953367","2023-02-21 04:22:47","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000052475159","0","0.0000000983034761155225","0.00198522253105386","3.71898397993325","1659.64","","","0x25194788"
"0xa18e26e2bcdd6fd27c413f23c7ab8e91ffdda69a47225f5e8cd5f6842395afc0","16674477","1676953367","2023-02-21 04:22:47","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000054684121","0","0.000000102441598750027","0.00749651566509072","14.043474334835","1659.64","","","0x61394788"
